FECHA;IMPORTE
09/12/2024 23:00;1572576,52
15/12/2024 23:00;5407,86
17/12/2024 23:00;809310,1
17/12/2024 23:00;78818,78
17/12/2024 23:00;21686,6
17/12/2024 23:00;172065,25
18/12/2024 23:00;51199,52
18/12/2024 23:00;18287,34
18/12/2024 23:00;80743,37
18/12/2024 23:00;150100,61
18/12/2024 23:00;28420,46
23/12/2024 23:00;1444720,81
12/01/2025 23:00;340380,39
15/01/2025 23:00;64985,32
26/01/2025 23:00;300847,36
27/01/2025 23:00;6171,9
05/02/2025 23:00;374300,78
05/02/2025 23:00;2968,56
09/02/2025 23:00;13095,43
11/02/2025 23:00;3199,09
17/02/2025 23:00;920622,77
20/02/2025 23:00;38096,16
23/02/2025 23:00;80892,42
26/02/2025 23:00;152907,27
26/02/2025 23:00;152907,27
02/03/2025 23:00;10479,53
02/03/2025 23:00;2472832,73
02/03/2025 23:00;59511,04
04/03/2025 23:00;90427,64
05/03/2025 23:00;973518,34
06/03/2025 23:00;1162938,9
11/03/2025 23:00;391460,28
13/03/2025 23:00;14353,22
13/03/2025 23:00;1595940,52
13/03/2025 23:00;4798,01
17/03/2025 23:00;99960,7
25/03/2025 23:00;258116,13
01/04/2025 22:00;14729,28
01/04/2025 22:00;28516,2
01/04/2025 22:00;12732,17
01/04/2025 22:00;20996,16
06/04/2025 22:00;6011,52
08/04/2025 22:00;24644,33
13/04/2025 22:00;1000
14/04/2025 22:00;786288,26
23/04/2025 22:00;223416,21
28/04/2025 22:00;50107,68
28/04/2025 22:00;1622,65
05/05/2025 22:00;21966,5
05/05/2025 22:00;10054,16
05/05/2025 22:00;11219,37
06/05/2025 22:00;69696,64
08/05/2025 22:00;252016,06
11/05/2025 22:00;33151,69
18/05/2025 22:00;24355,76
29/05/2025 22:00;559,81
29/05/2025 22:00;5347,98
03/06/2025 22:00;72,58
03/06/2025 22:00;2729,51
04/06/2025 22:00;56759,29
08/06/2025 22:00;18905,71
15/06/2025 22:00;6938,86
16/06/2025 22:00;15956
19/06/2025 22:00;52151,37
24/06/2025 22:00;57194,02
26/06/2025 22:00;64113,95
26/06/2025 22:00;65197,84
03/07/2025 22:00;65547,1
09/07/2025 22:00;41727,46
17/08/2025 22:00;11761,89
27/08/2025 22:00;55204,55
31/08/2025 22:00;427463,46
07/09/2025 22:00;115333,24
07/09/2025 22:00;98883,78
07/09/2025 22:00;50454,8
07/09/2025 22:00;9435,44
10/09/2025 22:00;2260,71
11/09/2025 22:00;471772,96
14/09/2025 22:00;9063,03
14/09/2025 22:00;70855,92
17/09/2025 22:00;33000
24/09/2025 22:00;5366,55
24/09/2025 22:00;13423,52
01/10/2025 22:00;180,35
01/10/2025 22:00;1177,4
02/10/2025 22:00;177310,26
02/10/2025 22:00;38211,43
09/10/2025 22:00;806970,28
09/10/2025 22:00;695339,53
09/10/2025 22:00;131062
14/10/2025 22:00;104322,14
16/10/2025 22:00;15490,48
20/10/2025 22:00;456984,52
22/10/2025 22:00;4143,44
22/10/2025 22:00;64127,7
26/10/2025 23:00;19606,27
05/11/2025 23:00;21706,46
24/11/2025 23:00;31854,06
24/11/2025 23:00;5463,33
30/11/2025 23:00;236215,33
01/12/2025 23:00;56819,52
01/12/2025 23:00;210806,89
01/12/2025 23:00;57433,13
01/12/2025 23:00;145726,3
01/12/2025 23:00;117949,45
01/12/2025 23:00;256492,93
